step,id,x,y,z
0,0,13.8083,0.511291,-5.52298
0,10,5.63825,-6.79986,-4.72635
0,20,12.0142,-17.8261,5.93412
0,30,9.05896,-9.49332,-5.58262
0,40,-2.33928,-22.7629,-6.34758
0,50,-8.5853,-22.0297,-6.57382
0,60,-4.66791,-7.94181,-15.1693
0,70,21.2776,1.1875,-13.6682
0,80,13.5948,-4.81545,-8.03386
0,90,5.07496,18.7326,2.78545
0,100,-6.0967,22.8788,-9.05254
0,110,3.5479,-1.49254,25.3746
0,120,18.5711,1.79554,13.8713
0,130,-5.06846,-18.8201,-6.56589
0,140,19.6951,-1.08193,13.2673
0,150,4.86309,-9.65916,-21.5374
0,160,-17.3583,-4.24661,-3.23911
0,170,-25.3523,-2.90184,-15.0836
0,180,-3.53406,-4.86578,3.7834
0,190,0.642851,-19.6439,8.57868
0,200,-9.59117,6.8359,-13.0861
0,210,3.61148,2.46979,-14.0426
0,220,-11.1855,-7.66128,5.6213
0,230,6.27866,1.04269,6.53777
0,240,8.47473,10.91,-21.0435
0,250,-15.4579,15.0221,-6.47917
0,260,-20.7161,-5.4773,-10.6046
0,270,20.5861,0.72231,15.0141
0,280,-82.733,-3.23038,39.0374
0,290,-13.7306,-4.62518,-14.5459
0,300,-17.761,0.541182,-5.95189
0,310,-13.3417,-6.2578,-10.3808
0,320,22.9571,14.1121,1.46933
0,330,-25.6977,4.23015,-14.945
0,340,19.1581,-10.8517,8.91028
0,350,-7.13371,-13.5157,8.5785
0,360,-17.384,13.6293,-0.0528985
0,370,-16.1997,2.51419,13.276
0,380,-1.39848,8.17293,16.8359
0,390,-44.8675,11.0444,-4.07105
0,400,-2.4703,-20.9588,11.3031
0,410,-8.71018,-15.9629,-13.8032
0,420,6.17531,6.11512,0.481967
0,430,16.4434,9.83376,-12.0764
0,440,1.64331,-6.71887,-16.1607
0,450,-20.489,-9.42228,0.780565
0,460,0.615514,-15.1826,-9.9706
0,470,-2.30671,-4.42941,25.8729
0,480,10.5744,3.21691,-24.0749
0,490,-16.3902,3.63365,13.1602
0,500,2.4847,-5.97366,-26.7587
0,510,3.24729,1.11898,-3.73385
0,520,12.4207,-21.5156,-6.06521
0,530,-19.3772,4.05483,14.2743
